Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guinea,GIN,828699063.736477,734578563.349223,2531048966.42904,2217341673.42936,2342843821.09411,1890478301.14386,2524762066.00743,4611027662.1547,4767367514.76856,4710654139.23984,9118509087.56435,10349491215.1011
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guinea-Bissau,GNB,24240037.9328713,80735010.025232,153091833.359024,190986184.236634,213171025.522053,288714347.161939,312531977.423096,374997825.737652,380311738.394247,292073122.709763,205987686.635881,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guyana,GUY,248683534.177215,684731124.266842,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Haiti,HTI,368773800,500598000.142701,1323609689.69316,1566906101.52277,1662116686.61118,1747794244.30207,1613347565.96492,1664384135.95576,1779807736.40458,1732030796.75048,1110024754.94218,1490135681.18388
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Honduras,HND,1561384393.2393,3878791962.58911,9431576950.29279,8869036740.06819,9396713234.73355,9475880830.43217,9276487847.60236,9970294331.78213,9977253615.70032,10015545627.0274,8362282817.84565,10957691939.3589
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Hong Kong SAR, China",HKG,90213099180.9803,216355888694.938,566884508277.036,610972021660.65,621071949033.415,606075105136.871,600021385414.117,644673433249.5,681282515787.459,644985260148.802,608116975197.236,751362887871.147
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Hungary,HUN,..,31569229766.0494,110624931420.638,115889090055.656,122873573562.815,109560505848.764,111124980759.44,122961374954.452,134482261437.021,133725455859.079,123747209385.383,148291830254.915
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Iceland,ISL,2144153418.27403,2899936221.63427,8102421429.80423,8586232153.76114,9205258378.50518,9047940782.56458,9873435454.66255,11308798727.139,12248092313.7596,11012617625.7117,7474085350.2971,9779499272.6097
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,22639774911.5525,60878396865.5263,448400543291.471,472180427427.899,468346037554.217,416787832621.795,439642787829.497,498258560860.385,538635201541.984,529244936262.465,499095036175.143,679680586359.909
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Indonesia,IDN,28982531189.6634,67621169165.827,225744402474.106,218308408827.835,210820082760.734,182158299305.401,177886012771.598,204924485587.546,218905647471.407,208057763085.712,182850626710.373,255731268263.145
